code,name
300568,N星源
603660,N科达
600050,中国联通
603319,湘油泵
601500,通用股份
2564,天沃科技
2819,东方中科
2823,凯中精密
601116,三江购物
603987,康德莱
2389,南洋科技
2408,齐翔腾达
600712,南宁百货
300566,激智科技
603977,国泰集团
2485,希努尔
2821,凯莱英
300565,科信技术
300569,天能重工
300561,汇金科技
600477,杭萧钢构
300411,金盾股份
2825,纳尔股份
2822,中装建设
300562,乐心医疗
603727,博迈科
300567,精测电子
603633,徕木股份
300556,丝路视觉
603777,来伊份
600992,贵绳股份
603819,神力股份
2820,桂发祥
300376,易事特
300563,神宇股份
603060,国检集团
600599,熊猫金控
603900,通灵珠宝
672,上峰水泥
603323,吴江银行
603336,宏辉果蔬
2059,云南旅游
300242,明家联合
980,金马股份
601882,海天精工
2419,天虹商场
518,四环生物
2583,海能达
951,中国重汽
603067,振华股份
603843,正平股份
338,潍柴动力
416,民生控股
2691,冀凯股份
600158,中体产业
600048,保利地产
600985,雷鸣科化
2383,合众思壮
651,格力电器
898,鞍钢股份
2159,三特索道
603519,立霸股份
601099,太平洋
600376,首开股份
300164,通源石油
2648,卫星石化
600856,中天能源
600803,新奥股份
600785,新华百货
603313,恒康家居
2713,东易日盛
300359,全通教育
600167,联美控股
603322,超讯通信
514,渝 开 发
2132,恒星科技
880,潍柴重机
2558,世纪游轮
600421,仰帆控股
2738,中矿资源
2599,盛通股份
600759,洲际油气
656,金科股份
601989,中国重工
300082,奥克股份
69,华侨城Ａ
2795,永和智控
603203,快克股份
600241,时代万恒
601808,中海油服
2793,东音股份
601968,宝钢包装
600166,福田汽车
603667,五洲新春
37,*ST南电A
637,茂化实华
600606,绿地控股
2146,荣盛发展
779,三毛派神
2353,杰瑞股份
300159,新研股份
601600,中国铝业
2464,金利科技
600694,大商股份
546,金圆股份
600831,广电网络
600787,中储股份
600608,上海科技
600381,青海春天
2130,沃尔核材
2163,中航三鑫
2758,华通医药
703,恒逸石化
2559,亚威股份
708,大冶特钢
402,金 融 街
601919,中国远洋
600438,通威股份
600266,北京城建
2213,特 尔 佳
2818,富森美
600967,北方创业
300340,科恒股份
2660,茂硕电源
63,中兴通讯
300534,陇神戎发
417,合肥百货
600178,东安动力
600503,华丽家族
2811,亚泰国际
300121,阳谷华泰
2716,金贵银业
2127,南极电商
601801,皖新传媒
300344,太空板业
1979,招商蛇口
581,威孚高科
573,粤宏远Ａ
2027,分众传媒
600546,*ST山煤
600325,华发股份
300491,通合科技
778,新兴铸管
927,一汽夏利
601678,滨化股份
2264,新 华 都
300304,云意电气
600817,*ST宏盛
601718,际华集团
600378,天科股份
300417,南华仪器
603988,中电电机
600697,欧亚集团
601333,广深铁路
603887,城地股份
630,铜陵有色
603816,顾家家居
603861,白云电器
600658,电子城
2347,泰尔股份
300382,斯莱克
600585,海螺水泥
975,银泰资源
603859,能科股份
31,中粮地产
600466,蓝光发展
153,丰原药业
600647,同达创业
603421,鼎信通讯
600322,天房发展
300312,邦讯技术
600660,福耀玻璃
300266,兴源环境
2554,惠博普
833,贵糖股份
2447,壹桥股份
2656,摩登大道
300448,浩云科技
600352,浙江龙盛
601588,北辰实业
2619,巨龙管业
600592,龙溪股份
2028,思源电气
601611,中国核建
2669,康达新材
2503,搜于特
300423,鲁亿通
2614,蒙发利
159,国际实业
603007,花王股份
601117,中国化学
603888,新华网
600150,中国船舶
600742,一汽富维
2342,巨力索具
731,四川美丰
